Date,Open,High,Low,Close,Adj Close,Volume
2019-06-24,610.000000,610.000000,80.000000,132.000000,132.000000,49249
2019-06-25,145.000000,222.000000,145.000000,222.000000,222.000000,6734
2019-06-26,300.000000,499.970001,165.000000,165.000000,165.000000,16420
2019-06-27,205.000000,231.000000,124.800003,125.000000,125.000000,20030
2019-06-28,150.000000,150.000000,119.699997,120.000000,120.000000,18013
2019-07-01,119.989998,119.989998,77.000000,78.000000,78.000000,43873
2019-07-02,80.000000,100.000000,57.000000,100.000000,100.000000,26332
2019-07-03,110.000000,120.000000,91.000000,108.000000,108.000000,5160
2019-07-05,105.000000,105.000000,78.019997,80.000000,80.000000,24906
2019-07-08,82.180000,85.129997,77.599998,78.250000,78.250000,19369
2019-07-09,78.000000,80.000000,68.000000,70.000000,70.000000,23064
2019-07-10,70.000000,71.000000,59.250000,60.000000,60.000000,40183
2019-07-11,60.000000,61.000000,55.000000,55.000000,55.000000,23930
2019-07-12,55.000000,56.900002,54.200001,55.500000,55.500000,26194
2019-07-15,51.000000,57.250000,47.000000,55.000000,55.000000,25695
2019-07-16,55.000000,55.000000,48.200001,51.000000,51.000000,15708
2019-07-17,49.000000,53.500000,49.000000,52.000000,52.000000,8634
2019-07-18,53.000000,55.000000,51.799999,53.750000,53.750000,8836
2019-07-19,55.000000,55.000000,52.000000,52.000000,52.000000,6598
2019-07-22,52.799999,52.799999,45.011398,48.000000,48.000000,11217
2019-07-23,46.000000,46.000000,42.529999,44.000000,44.000000,9098
2019-07-24,48.000000,48.000000,42.000000,42.000000,42.000000,11177
2019-07-25,43.299999,53.500000,43.000000,48.250000,48.250000,15999
2019-07-26,48.000000,48.000000,45.500000,46.000000,46.000000,5238
2019-07-29,45.099998,45.099998,40.279999,40.299999,40.299999,8799
2019-07-30,42.000000,42.000000,40.750000,40.750000,40.750000,7281
2019-07-31,42.000000,46.270000,41.875000,43.459999,43.459999,22890
2019-08-01,null,null,null,null,null,null
2019-08-02,null,null,null,null,null,null
